"Job Name","Post Person Jobs","Provider","Salary Min","Salary Max","Job Type"
"新オープンamazon流山倉庫で軽作業","ファイズオペレーションズ株式会社","ファイズの求人情報サイト｜アマゾンなどの倉庫内バイト多数","￥1,140","","パートタイム"
"梱包・仕分け・ピッキング（軽作業・製造・物流）","エヌエス・ジャパン株式会社","イーアイデム","￥1,140","","フルタイム"
"倉庫内軽作業","株式会社　TRAIL","はたらくぞドットコム","￥1200","￥1500","パートタイム"
"新オープンのamazon倉庫で倉庫内軽作業！","ファイズオペレーションズ株式会社","ファイズの求人情報サイト｜アマゾンなどの倉庫内バイト多数","￥1,140","","パートタイム"
"アマゾン流山物流センターでの倉庫内軽作業【夜勤】","株式会社エヌエフエー","ハロ！わくおさん","","","フルタイム"
"倉庫内軽作業","楽天スーパーロジスティクス株式会社","engage","","","フルタイム"
"新オープンのamazon倉庫で軽作業の新人トレーナー","ファイズオペレーションズ株式会社","ファイズの求人情報サイト｜アマゾンなどの倉庫内バイト多数","￥1,140","","パートタイム"
"新オープンアマゾン倉庫内軽作業","ファイズオペレーションズ株式会社","ファイズの求人情報サイト｜アマゾンなどの倉庫内バイト多数","￥1,140","","パートタイム"
"倉庫内での商品の仕分けスタッフ・さくっと稼げる仕事","153-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-173","シフトワークス","￥1,140","",""
"倉庫内軽作業イマ話題/清潔な職場!","株式会社 antz (お仕事紹介 サイト)/1163","株式会社 Antz","￥1100","","パートタイム"
"派遣 モクモク作業・未経験OK／スーパーの商品のピッキング","株式会社G&G","ハケンギフト","￥1,150","","パートタイム"
"梱包・仕分け・検品","ランスタッド株式会社（製造・軽作業）","はたらこねっと","","",""
"その他（軽作業・物流関連）","マックスアルファ株式会社","ヒバライドットコム","￥1,140","",""
"物流・倉庫業務 / 軽作業 / 包装・シール貼付作業員","パーソルテンプスタッフ（株）","テンプスタッフ","","","フルタイム"
"【急募】倉庫内作業のお仕事　日払いOK★","株式会社ソーエイ","ショットワークス","","",""
"倉庫内軽作業","株式会社エクスプレス・エージェント","らくらくアルバイト","","",""
"シール貼り／倉庫スタッフ、倉庫スタッフ","ファイズオペレーションズ株式会社","マッハバイト","￥1,140","","パートタイム"
